ratings,boxoffice
31, 74747725
33, 44664690
34, 95017038
34, 69497587
36, 19320481
36, 15880032
38, 32450241
39, 253890701
39, 7253825
40, 86940113
40, 165637189
40, 15383580
41, 252442974
41, 122133739
42, 36599361
42, 16412504
43, 9732621
45, 119559110
45, 35656504
45, 38908963
45, 21360215
45, 6424420
46, 30918726
48, 72216294
49, 246985576
49, 131417147
49, 32390945
49, 21150265
49, 12119295
50, 385900138
50, 133365452
50, 48800575
52, 122752517
54, 353284621
54, 155712077
54, 60582764
54, 33766787
54, 32893421
55, 388464408
55, 9963194
56, 50444358
56, 71746590
56, 7776413
57, 57469467
57, 44902237
58, 18640313
58, 10209813
59, 1654645522
59, 228552591
59, 76087556
60, 1131761808
60, 429434163
60, 91526100
63, 459236036
63, 431705346
63, 404852543
63, 150686650
63, 48791187
63, 76419755
63, 64503067
64, 758910100
65, 89542717
66, 145026114
67, 95677760
68, 90510445
69, 110883070
69, 116552537
71, 1128274794
71, 20296746
72, 948601694
72, 191306508
72, 161315435
72, 53397076
72, 32140970
72, 22367121
74, 114102821
74, 56828752
74, 26120538
75, 179111180
75, 26249469
76, 41123770
76, 17928765
76, 7699452
77, 364571656
77, 195179299
77, 39058886
78, 140040941
78, 126566773
79, 519896648
80, 326563265
81, 255105930
81, 20521134
83, 370755699
85, 24624917
85, 7781418
86,2797800564
87, 1072064691
87, 1050693953
89, 19601463
93, 102949900
