trends,boxoffice
0,71746590
0,9963194
1,76087556
1,19601463
1,32140970
1,10209813
1,6424420
1,7253825
2,15383580
2,16412504
2,17928765
2,18640313
2,20296746
2,7781418
2,9732621
2,7776413
3,32450241
3,26249469
3,22367121
3,30918726
3,102949900
4,145026114
4,44902237
4,19320481
4,21150265
4,15880032
4,12119295
4,7699452
5,21360215
5,26120538
6,161315435
6,57469467
6,20521134
6,32893421
7,133365452
7,48800575
8,64503067
8,69497587
9,429434163
9,60582764
9,33766787
10,253890701
10,74747725
10,86940113
10,35656504
10,39058886
11,191306508
11,155712077
11,72216294
11,119559110
11,36599361
11,32390945
12,76419755
13,110883070
13,388464408
13,165637189
13,95017038
13,56828752
13,44664690
14,116552537
14,91526100
14,90510445
14,89542717
14,53397076
14,38908963
15,519896648
15,126566773
15,48791187
16,122752517
16,50444358
16,114102821
16,24624917
17,758910100
17,404852543
17,131417147
17,122133739
18,353284621
18,195179299
18,179111180
19,228552591
20,95677760
21,252442974
22,326563265
24,41123770
25,140040941
26,431705346
26,150686650
30,364571656
33,385900138
35,246985576
37,370755699
38,255105930
44,459236036
55,1050693953
61,1131761808
69,1072064691
73,1128274794
99,1654645522
100,948601694
100,2797800564
